"variable","cor_upa","cor_pob"
"P_S3P9",0.985240240051969,0.360762371361505
"P_S3P10",0.986525484634465,0.372532748977583
"P_S3P11",0.981112453094542,0.345872065450516
"P_S3P12",0.978095719650945,0.425215496422652
"P_S3P13",0.989109389898039,0.350784203852495
"P_S3P14",0.997763206199184,0.356706929016626
"P_S5PAUTOS",-0.0143725134382436,0.0663351387443377
"P_S11P135",0.935496635028975,0.240528234983112
"P_S12P142",0.0381007411691726,0.121663585594135
"P_S7P82",0.944353827268457,0.239720304604146
"P_S7P78",0.944053454580116,0.245754307205098
"P_S6P43",0.926116891836561,0.222255857726311
"P_S9P117",0.951237850234744,0.252556482277602
"P_S15P158",0.899365977637637,0.513989072085176
"P_S15P158A",0.853977123979013,0.516031282071175
"P_S15P158B",0.788127778091805,0.503321250985938
