"municipios","upa","error_promedio","deff"
5,10,14,1.18
5,15,12.01,1.28
5,20,11.77,1.38
8,10,11.01,1.18
8,15,11.02,1.28
8,20,9.38,1.38
10,10,9.16,1.18
10,15,9.01,1.28
10,20,8.11,1.38
12,10,8.44,1.18
12,15,7.75,1.28
12,20,7.57,1.38
15,10,7.89,1.18
15,15,7.01,1.28
15,20,6.7,1.38
