"municipios","upa","error_promedio","deff"
5,10,55.2,1.18
5,15,51.79,1.28
5,20,47.7,1.38
8,10,48.13,1.18
8,15,47.75,1.28
8,20,42.11,1.38
10,10,41.82,1.18
10,15,40.09,1.28
10,20,41.6,1.38
12,10,45.49,1.18
12,15,41.14,1.28
12,20,40.23,1.38
15,10,37.37,1.18
15,15,39.11,1.28
15,20,38.15,1.38
